fund,fund_code,snapshot_date,source_url,raw_file,raw_sha256,status,num_holdings,total_weight,captured_at_utc
easybalanced,EASYBF,2026-06-12,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260612.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260612.csv,a5b9d7294ecd94760b563cb3d7f09d0d0a1fd5d7f2f057e3fe50ca93a1dd1254,new,29,99.82,2026-06-12T12:31:25Z
easybalanced,EASYBF,2026-06-15,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260615.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260615.csv,d560c9e0a9b9b55a881bdc02d7087a8000b5c77534e6a3d340d136df77b63e74,new,29,99.63,2026-06-15T15:25:10Z
easybalanced,EASYBF,2026-06-17,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260617.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260617.csv,45357558ea9e8af7609bbbb7cf3c1f65c97d4f116de3067aaccc906d1a183d5a,new,29,99.83,2026-06-17T12:58:18Z
easybalanced,EASYBF,2026-06-18,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260618.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260618.csv,b8e8ccfef41189a7bbfb9dcf8fb3982cbafe0e9e709adda6855a1b58beabbe6c,new,29,99.73,2026-06-18T12:32:02Z
easybalanced,EASYBF,2026-06-19,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260619.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260619.csv,5d6c67fb8d9b84180e6e4c32e3acff7c1a9158f0cb3327ff0c4426f90f1ea70a,new,27,99.7,2026-06-19T12:54:07Z
easybalanced,EASYBF,2026-06-22,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260622.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260622.csv,4cda686d6aebd21b422aa93e3b1fad907ff40787f5c45e2c1fa1fbf91c0031c7,new,27,99.75,2026-06-22T14:50:11Z
easybalanced,EASYBF,2026-06-24,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260624.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260624.csv,5f227e42608fc857ba44e00573d601837acf63fe04597ef841de938b32157e9e,new,27,99.77,2026-06-24T12:01:37Z
easybalanced,EASYBF,2026-06-25,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260625.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260625.csv,3a5e12624ee80f7fe0a077e6d63165f93d10c4d4c20d6eaf00e3d6903803af6b,new,27,99.73,2026-06-25T11:50:21Z
easybalanced,EASYBF,2026-06-26,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260626.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260626.csv,12ace8b7329c6da9f3df987b49456a39117d03107a71951657775eb880fc10e5,new,27,99.71,2026-06-26T11:49:53Z
easybalanced,EASYBF,2026-06-29,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYBF_PCF_ZAR_20260629.csv,data/raw/easybalanced/EASYBF_PCF_ZAR_20260629.csv,8427b1e2c9f6b7a00d6f289ef3b73bd2346ec8f3d7c530fb4310e2cad279f95b,new,27,99.74,2026-06-29T13:15:51Z
